idx,dp_HPWL,time
102,3310383.0,10.90165090560913
103,4572384.0,13.518268823623657
104,696737.0,6.916979074478149
105,2408733.0,8.645181894302368
106,602724.0,6.978495359420776
107,1473033.0,8.92807126045227
108,2644088.0,11.29208254814148
109,1381426.0,7.08135461807251
110,1809171.0,8.659857273101807
111,3348943.0,10.959140300750732
112,2027780.0,9.307143688201904
113,4098675.0,11.134294509887695
114,1209368.0,8.366343259811401
115,3889723.0,12.01283860206604
116,1108445.0,7.596575498580933
117,689407.0,7.017273902893066
118,1479633.0,7.158106803894043
119,1442687.0,7.922740459442139
120,967673.0,6.866090536117554
121,2892491.0,11.23082160949707
122,4798141.0,12.454657554626465
123,1067281.0,6.629470586776733
124,1961023.0,9.789025783538818
125,4967963.0,13.163103103637695
126,1089346.0,8.638545036315918
127,3504671.0,12.992658853530884
128,1728778.0,7.79743504524231
129,670029.0,7.014501571655273
130,2113202.0,8.526712656021118
131,2446502.0,7.420935869216919
132,1002494.0,7.294554710388184
133,1445545.0,8.326799631118774
134,687296.0,7.152602434158325
135,1825473.0,9.342902898788452
136,3430865.0,11.576424360275269
137,6609603.0,17.624218940734863
138,3824096.0,8.234734058380127
139,1490590.0,8.868500709533691
140,648631.0,7.250223398208618
141,2039387.0,10.417292356491089
142,2169519.0,10.327895879745483
143,3957093.0,13.4129319190979
144,748781.0,6.837428331375122
145,1192549.0,7.529633522033691
146,1304162.0,7.977261304855347
147,966380.0,7.0872063636779785
148,1613353.0,8.651640892028809
149,3087426.0,10.405805110931396
150,2391774.0,10.914159536361694
151,8188775.0,18.72612953186035
152,967748.0,6.761846303939819
153,4756783.0,12.9037504196167
154,630408.0,7.0368971824646
155,3480654.0,12.246647834777832
156,512185.0,6.527587652206421
157,3239950.0,11.815547704696655
158,6331242.0,15.603656530380249
159,1659604.0,7.620261192321777
160,1881476.0,7.07332968711853
161,1182984.0,7.515704870223999
162,1832924.0,8.761152744293213
163,1351338.0,7.811103105545044
164,625388.0,6.6705851554870605
165,5226665.0,13.395585775375366
166,1528273.0,7.780407428741455
167,1653180.0,8.877546072006226
168,1587183.0,8.092919111251831
169,3742306.0,14.824513673782349
170,2493611.0,9.667515516281128
171,2675262.0,9.627971172332764
172,4070156.0,10.739954471588135
173,2271769.0,8.325974702835083
174,2584240.0,11.82380485534668
175,1448410.0,7.658889532089233
176,4194902.0,13.711928367614746
177,1754018.0,9.535703897476196
178,1569235.0,8.433302164077759
179,4277137.0,10.98806095123291
180,443930.0,6.4345972537994385
181,529715.0,6.397677183151245
182,588031.0,6.677868843078613
183,2642469.0,11.190694808959961
184,1186872.0,7.019446134567261
185,12831530.0,18.784145832061768
186,607406.0,6.994908094406128
187,3170186.0,11.057067155838013
188,4442700.0,15.115575551986694
189,2812195.0,9.019389867782593
190,825032.0,7.196389198303223
191,1006986.0,7.5489890575408936
192,2003272.0,8.58396029472351
193,3422053.0,10.970734357833862
194,1341186.0,7.5067408084869385
195,1715703.0,8.011926651000977
196,960888.0,7.5066962242126465
197,4847755.0,13.228781461715698
198,4501811.0,15.247782468795776
199,635892.0,7.3062193393707275
200,3592105.0,12.403913974761963
201,1510182.0,7.444175958633423
202,4772981.0,12.397254705429077
203,3578261.0,14.0054771900177
204,3004006.0,9.790213823318481
205,489760.0,6.376143455505371
206,1010728.0,7.423574924468994
207,1914745.0,7.616819381713867
208,2848608.0,10.13992691040039
209,391715.0,6.379616975784302
210,2208424.0,9.45265007019043
211,2931657.0,9.85473084449768
212,1413482.0,7.0622172355651855
213,1424632.0,6.850902318954468
214,1682510.0,7.8856260776519775
215,3134592.0,8.925117015838623
216,1175421.0,7.799933910369873
217,1777872.0,10.387136220932007
218,9902079.0,18.093051433563232
219,1747013.0,10.581801176071167
220,1808570.0,9.074835777282715
221,594376.0,6.782629728317261
222,1318074.0,7.157638072967529
223,2636484.0,9.556183815002441
224,3193668.0,11.810314416885376
225,1505890.0,8.330476760864258
226,2755159.0,10.93852972984314
227,1669325.0,8.316195011138916
228,1129686.0,8.577523946762085
229,8021351.0,16.876420974731445
230,3001968.0,10.055754899978638
231,2840463.0,11.216157913208008
232,1078132.0,7.683924913406372
233,4818895.0,12.246655702590942
234,1371790.0,7.868005275726318
235,6826060.0,16.007521629333496
236,2459406.0,11.120200872421265
237,2469206.0,9.922483921051025
238,1047361.0,6.933687686920166
239,2078158.0,8.23126745223999
240,1165183.0,7.015780448913574
241,1549291.0,7.769531488418579
242,2191251.0,10.418830394744873
243,9480633.0,17.1541748046875
244,1137441.0,7.791715860366821
245,3467587.0,12.703299760818481
246,1918556.0,9.405164957046509
247,2332631.0,9.64470386505127
248,5898317.0,15.426301956176758
249,1496024.0,9.138116598129272
250,4520765.0,11.703622341156006
251,6445582.0,13.272860288619995
252,2832798.0,9.328834533691406
253,591116.0,7.106710433959961
254,7085498.0,17.620211839675903
255,1411783.0,6.718553781509399
256,4302191.0,12.115793466567993
257,1636538.0,8.257766008377075
258,2142612.0,9.248366832733154
259,5593959.0,13.21203327178955
260,3925382.0,10.253056764602661
261,2762447.0,10.803835153579712
262,2217265.0,9.14970350265503
263,973783.0,7.058748006820679
264,5638725.0,15.6928391456604
265,2689842.0,11.105368375778198
266,2764271.0,10.458359718322754
267,5413337.0,12.843590497970581
268,3218910.0,13.285919189453125
269,1027639.0,6.977420330047607
270,1271215.0,7.406767129898071
271,2702537.0,10.846495151519775
272,4441033.0,13.095335006713867
273,3867785.0,12.759605169296265
274,951111.0,7.919500350952148
275,2767697.0,10.350288391113281
276,1210322.0,7.251471996307373
277,752405.0,7.204922676086426
278,1050132.0,7.646265983581543
279,1284829.0,7.3794331550598145
280,551008.0,6.431682348251343
281,1941750.0,8.371387720108032
282,5831698.0,16.811609506607056
283,2351470.0,9.22747254371643
284,3437722.0,11.360399007797241
285,1324852.0,8.380574226379395
286,2490456.0,8.729238748550415
287,4286853.0,11.104197263717651
288,813238.0,6.793620824813843
289,404664.0,6.593018293380737
290,1335135.0,8.013255834579468
291,851259.0,7.2912468910217285
292,849147.0,7.07740044593811
293,4739016.0,12.472605466842651
294,1477049.0,8.784697771072388
295,828620.0,6.945485591888428
296,4224666.0,10.85202932357788
297,2697082.0,12.203755378723145
298,5829457.0,17.10984992980957
299,1128342.0,7.915005683898926
300,514919.0,6.586538791656494
301,1201028.0,8.502264022827148
302,326425.0,6.27254581451416
303,607403.0,6.405412197113037
304,2807247.0,9.405911684036255
305,3993438.0,14.344619035720825
306,2851233.0,10.601123094558716
307,7965336.0,16.251648664474487
308,3213238.0,9.780898571014404
309,3200191.0,10.182732105255127
310,2402463.0,8.741318225860596
311,1223668.0,8.458527565002441
312,6239331.0,14.751874923706055
313,4698138.0,13.203160285949707
